

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
3866.040  000.213  000.213: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/extensions/ctrlp.vim
3866.738  000.227  000.227: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/extensions/hunks.vim
3867.370  000.191  000.191: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/extensions/tagbar.vim
3868.136  000.291  000.291: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/extensions/branch.vim
3868.971  000.269  000.269: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/extensions/whitespace.vim
3869.750  000.156  000.156: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/extensions/tmuxline.vim
3874.274  000.208  000.208: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/section.vim
3875.286  000.551  000.551: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/highlighter.vim
3880.558  000.193  000.193: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/themes.vim
3882.541  003.101  002.908: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/themes/base16.vim
3889.014  000.195  000.195: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/util.vim
3890.069  000.125  000.125: sourcing /Users/alex/.vim/bundle/tmuxline.vim/autoload/tmuxline/api.vim
3891.120  000.606  000.606: sourcing /Users/alex/.vim/bundle/tmuxline.vim/autoload/tmuxline/util.vim
3892.179  000.596  000.596: sourcing /Users/alex/.vim/bundle/tmuxline.vim/autoload/tmuxline.vim
3892.741  000.157  000.157: sourcing /Users/alex/.vim/bundle/tmuxline.vim/autoload/tmuxline/presets/powerline.vim
3893.648  000.235  000.235: sourcing /Users/alex/.vim/bundle/tmuxline.vim/autoload/tmuxline/builder.vim
3911.250  000.386  000.386: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/builder.vim
3912.234  000.229  000.229: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/extensions/default.vim
3944.220  009.191  009.191: sourcing /Users/alex/.vim/bundle/MatchTagAlways/autoload/MatchTagAlways.vim
3948.864  000.188  000.188: sourcing /Users/alex/.vim/bundle/editorconfig-vim/autoload/editorconfig.vim
3959.851  3360.525: opening buffers
3961.494  000.963  000.963: sourcing /Users/alex/.vim/bundle/ctrlp.vim/autoload/ctrlp/utils.vim
3969.513  000.836  000.836: sourcing /Users/alex/.vim/bundle/vim-gitgutter/autoload/gitgutter.vim
3970.821  000.690  000.690: sourcing /Users/alex/.vim/bundle/vim-gitgutter/autoload/gitgutter/utility.vim
3998.415  026.858  026.858: sourcing /Users/alex/.vim/bundle/vim-gitgutter/autoload/gitgutter/diff.vim
4060.828  000.912  000.912: sourcing /Users/alex/.vim/bundle/vim-gitgutter/autoload/gitgutter/hunk.vim
4062.889  001.168  001.168: sourcing /Users/alex/.vim/bundle/vim-gitgutter/autoload/gitgutter/sign.vim
4065.846  075.568: BufEnter autocommands
4065.863  000.017: editing files in windows
4076.340  000.152  000.152: sourcing /Users/alex/.vim/bundle/vim-airline/autoload/airline/deprecation.vim
4077.077  011.062: VimEnter autocommands
4077.088  000.011: before starting main loop
4205.263  128.175: first screen update
4205.269  000.006: --- VIM STARTED ---
